,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
0,5524,Postgraduate,Alone,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1,2174,Postgraduate,Alone,Has child,2 children,Leaky bucket,Senior,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
2,4141,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
3,6182,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
4,5324,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
5,7446,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
6,965,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
7,6177,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
8,4855,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
9,5899,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Low income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
11,387,Undergraduate,In couple,No child,No child,High potential,Adult,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
12,2125,Postgraduate,Alone,No child,No child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
13,8180,Postgraduate,Alone,Has child,2 children,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
14,2569,Postgraduate,In couple,No child,No child,High potential,Adult,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
15,2114,Postgraduate,Alone,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
16,9736,Postgraduate,In couple,Has child,2 children,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
17,4939,Postgraduate,In couple,No child,No child,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
18,6565,Postgraduate,In couple,Has child,1 child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
19,2278,Undergraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
20,9360,Postgraduate,In couple,No child,No child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
21,5376,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
22,1993,Postgraduate,In couple,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
23,4047,Postgraduate,In couple,Has child,1 child,Stars,Senior,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
24,1409,Postgraduate,In couple,Has child,1 child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
25,7892,Postgraduate,Alone,No child,No child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
26,2404,Postgraduate,In couple,Has child,2 children,High potential,Adult,Medium to high income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
28,9422,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
29,1966,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer
30,6864,Postgraduate,Alone,No child,No child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
31,3033,Postgraduate,In couple,No child,No child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
32,5710,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
33,7373,Postgraduate,Alone,Has child,2 children,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
34,8755,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
35,10738,Postgraduate,Alone,Has child,2 children,Leaky bucket,Senior,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
36,4339,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
37,10755,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
38,8595,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
39,2968,Postgraduate,Alone,No child,No child,Need attention,Senior,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
40,8601,Postgraduate,In couple,Has child,1 child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
41,503,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
42,8430,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Old customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
44,2139,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
45,1371,Postgraduate,Alone,No child,No child,Stars,Adult,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
46,9909,Undergraduate,In couple,No child,No child,High potential,Young,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
47,7286,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
49,6566,Postgraduate,In couple,Has child,2 children,Need attention,Senior,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
50,8614,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
51,4114,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
52,1331,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
53,2225,Postgraduate,Alone,No child,No child,Stars,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
54,9381,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
